texto,sigla,nivel
PROPRIEDADE DO COMANDO,CMDE,1
PROPRIEDADE DO COMANDO,CMDE,1
PROPRIEDADE DO COMANDO,CMDE,2
PROPRIEDADE DO COMANDO,CMDE,2
PROPRIEDADE DO COMANDO 01F1 - ABERTO,CMDE,3
COMANDO DO PROPRIEDADE 43TC - ABERTO,CMDE,3
CMOANDO 52-2 - ABERTO,CMDE,4
COMAANDO DO 52-2 - TRIP,CMDE,4
D PROPRIEDADE - 01Q0 OCOMANDOO,CMDE,5
01F1 PROPRIEDAED - POS. REMOO,CMDE,5
CHAVE DE COMANDO ICCP,CCIC,1
CHAVE DE COMANDO ICCP,CCIC,1
CHAVE DE COMANDO ICCP,CCIC,2
CHAVE DE COMANDO ICCP,CCIC,2
ICCP COMANDO DE CHAVE 52-2 - FECHADO,CCIC,3
CHAVE ICCP DE COMANDO 52-2 - ABERTO,CCIC,3
DE COMANDO ICCP IED 01F1 -,CCIC,4
DE COMANDO HAVE 52-1 - ABERTO,CCIC,4
52-2 - COMMANDO ICCP 52-2,CCIC,5
IED BLOQUUEIO 52-1 DE CHHAVE 01F1,CCIC,5
20 - ALARME VALVULA,20A,1
20 - ALARME VALVULA,20A,1
20 - ALARME VALVULA,20A,2
20 - ALARME VALVULA,20A,2
20 ALARME - VALVULA 52-1 - POS. REMOTO,20A,3
- VALVULA 20 ALARME 01F1 - TRIP,20A,3
- VALVULA ALARME 52-2 - TRIIP,20A,4
ALARME VALVULA 52-1 POS. 2(0),20A,4
TRIP 01Q0 (20) VALVULA 52-2,20A,5
52-1 BLOUEIO 01Q,20A,5
20 - ALARME VALVULA CDC,20CA,1
20 - ALARME VALVULA CDC,20CA,1
20 - ALARME VALVULA CDC,20CA,2
20 - ALARME VALVULA CDC,20CA,2
20 ALARME - CDC VALVULA 43TC - POS. REMOTO,20CA,3
CDC - VALVULA ALARME 20 43TC - BLOQUEIO,20CA,3
ALARMME 01Q0 FECHADO (20),20CA,4
ALARME CDDC VALVULA 43TC ABERTO (20),20CA,4
ALARME 01F1 20 --,20CA,5
ALAARME CDC 01F1 BLOQUEO 01F1 VALVULA (20),20CA,5
20 - ALARME VALVULA TRAFO,20TA,1
20 - ALARME VALVULA TRAFO,20TA,1
20 - ALARME VALVULA TRAFO,20TA,2
20 - ALARME VALVULA TRAFO,20TA,2
- ALARME 20 VALVULA TRAFO IED 01F1 - TRIP,20TA,3
TRAFO VALVULA - 20 ALARME 52-2 - FECHADO,20TA,3
ALARME - TRAFO 20 01Q0 - POS. REMOTO,20TA,4
- 20 ALARME VALVULA TRAFO - FEHCADO,20TA,4
ALARME REMOTO 52-2 52-1 VALUVLA 20,20TA,5
20 01Q0 - TRIP TRAO VALVULA ALARME -,20TA,5
20 - VALVULA TRANSFORMADOR,20T,1
20 - VALVULA TRANSFORMADOR,20T,1
20 - VALVULA TR,20T,2
20 - VALVULA TR,20T,2
VALVULA 20 TRANSFORMADOR - IED 01F1 - FECHADO,20T,3
- 20 VALVULA TR 52-1 - BLOQUEIO,20T,3
- 20 VALVULA 01Q0 - EFCHADO,20T,4
VALVULA TTR IED 01F1 - POS. REMOTO,20T,4
POS. REMOTO IEE TR VALVULA 01F1 01F1,20T,5
200 01F1 - VALUVLA IED TRIP TRANSFORMADOR,20T,5
20 - VALVULA COMUTADOR,20C,1
20 - VALVULA COMUTADOR,20C,1
20 - VALVULA COMUTADOR,20C,2
20 - VALVULA COMUTADOR,20C,2
20 VALVULA COMUTADOR - IED 01F1 - ABERTO,20C,3
COMUTADOR VALVULA - 20 52-1 - BLOQUEIO,20C,3
COMUTADOR 52-1 FECAHDO (20),20C,4
CCOMUTADOR - 20 VALVULA 01Q0 -,20C,4
20 01QQ0 VAALVULA 43TC -,20C,5
0 1F1 01Q0 COMUTADOR2 - -0,20C,5
20 - TRIP VALVULA,20D,1
20 - TRIP VALVULA,20D,1
20 - TRIP VALVULA,20D,2
20 - TRIP VALVULA,20D,2
- VALVULA TRIP 20 01Q0 - FECHADO,20D,3
VALVULA - TRIP 20 52-1 - ABERTO,20D,3
TRIP 01Q0 20),20D,4
- VALVULA 20 43TC - BOLQUEIO,20D,4
20 IED TRIP - 0F11 -,20D,5
01F1 - VAALVULA IDE 20 TRIP,20D,5
20 - TRIP VALVULA CDC,20CD,1
20 - TRIP VALVULA CDC,20CD,1
20 - TRIP VALVULA CDC,20CD,2
20 - TRIP VALVULA CDC,20CD,2
TRIP VALVULA - CDC 20 52-2 - ABERTO,20CD,3
CDC - 20 VALVULA TRIP IED 01F1 - ABERTO,20CD,3
VALVULA CDC 20 TRIP - 1F1 - FECHADO,20CD,4
VALVULA 20 TRIP 43TC - POS.,20CD,4
01Q0 TRIP20 01Q0 - VALVULA,20CD,5
01F1 IED TRI - 20 RIP PVALVULA,20CD,5
20 - TRIP VALVULA TRAFO,20TD,1
20 - TRIP VALVULA TRAFO,20TD,1
20 - TRIP VALVULA TRAFO,20TD,2
20 - TRIP VALVULA TRAFO,20TD,2
TRAFO TRIP - 20 VALVULA 01F1 - TRIP,20TD,3
TRIP VALVULA TRAFO 20 - 01F1 - POS. REMOTO,20TD,3
-VALVULA TRIP TRAFO 52-1 FECHADO,20TD,4
TRIP 20 TRAFO - 01F1 ABERTO,20TD,4
- TRFAO 43TC RIP 43TC - 20,20TD,5
VALVULA 52-1 52-1 TRAFO 20 BLOQEI,20TD,5
20 - TRIP VALVULA TRAFO E1,20T1,1
20 - TRIP VALVULA TRAFO E1,20T1,1
20 - TRIP VALVULA TRAFO E1,20T1,2
20 - TRIP VALVULA TRAFO E1,20T1,2
TRAFO E1 VALVULA - 20 TRIP 52-1 - BLOQUEIO,20T1,3
VALVULA 20 E1 TRAFO TRIP - 01F1 - POS. REMOTO,20T1,3
TRAFO VALULA E1 TRIP (20),20T1,4
E1 20 - VALVULA TRAFO 52-1 - FECHADO,20T1,4
E IED TRAFO BLOQUEIIO - 01F1,20T1,5
E1 - TAFO 52-2 TRIP 20,20T1,5
20 - TRIP VALVULA TRAFO E2,20T2,1
20 - TRIP VALVULA TRAFO E2,20T2,1
20 - TRIP VALVULA TRAFO E2,20T2,2
20 - TRIP VALVULA TRAFO E2,20T2,2
- 20 E2 VALVULA TRIP TRAFO IED 01F1 - TRIP,20T2,3
VALVULA TRAFO - TRIP 20 E2 01Q0 - FECHADO,20T2,3
- TRAFO 02 VALVULA E2 52-2 -,20T2,4
TRIP TRAFO VALVULA - E2 -,20T2,4
E2 - TRAFO 0F11 01F1 20,20T2,5
20 FECHADO 52-2 TRIP - TRAFO,20T2,5
20 - TRIP VALVULA TRAFO OU CDC,20TC,1
20 - TRIP VALVULA TRAFO OU CDC,20TC,1
20 - TRIP VALVULA TRAFO OU CDC,20TC,2
20 - TRIP VALVULA TRAFO OU CDC,20TC,2
CDC 20 VALVULA TRAFO TRIP OU - IED 01F1 - BLOQUEIO,20TC,3
CDC OU VALVULA TRAFO - TRIP 20 01Q0 - POS. REMOTO,20TC,3
TRAFO VALVULA CDC OU - 20 01Q0 RREMOTO,20TC,4
TRIP CDC VALVULA OU TRAFO IED 01F1 - FECHADO,20TC,4
VLAVULA TRIP OU 521- - TRAFO -,20TC,5
IED 01F1 20 CDC VALVLUA - - IED 01F1,20TC,5
20 63 87 - PROTECOES INTRINSECAS,INTR,1
20 63 87 - PROTECOES INTRINSECAS,INTR,1
20 63 87 - PROTECOES INTRINSECAS,INTR,2
20 63 87 - PROTECOES INTRINSECAS,INTR,2
INTRINSECAS 63 PROTECOES 20 - 87 43TC - BLOQUEIO,INTR,3
INTRINSECAS 87 20 - PROTECOES 63 52-2 - POS. REMOTO,INTR,3
INTINSECAS 87 - PROTECOES 63 01Q0 BLOQUEIO,INTR,4
INTRINSECAS 87 - 63 - TRIP,INTR,4
ABERT 87 (02) PROTECOES 52-2,INTR,5
(87) 43TC 63 INTRINSECAS PROTECOSE,INTR,5
20 87 - TRIP VALVULA OU DIFERENCIAL TRAFO,2087T,1
20 87 - TRIP VALVULA OU DIFERENCIAL TRAFO,2087T,1
20 87 - TRIP VALVULA OU DIFERENCIAL TRAFO,2087T,2
20 87 - TRIP VALVULA OU DIFERENCIAL TRAFO,2087T,2
TRAFO - OU TRIP VALVULA DIFERENCIAL 20 87 52-2 - BLOQUEIO,2087T,3
TRIP TRAFO OU 87 DIFERENCIAL 20 VALVULA - 52-2 - POS. REMOTO,2087T,3
OU TRIP TRAFO DIFERENCIAL 8 VALVULA - 52-2 POS.,2087T,4
VALVULA TRIP TRAFO DIFERENCIIAL OU 87 - 52-2,2087T,4
OPS. 01F1 TRIP OIED 01F1 REMOT VALVULA,2087T,5
(87) OU DIFERENCIAAL VALVULABLOQUEIO 52-1 20,2087T,5
20C 20T 63T - ALARME VALVULA OU BUCHHOLZ,263A,1
20C 20T 63T - ALARME VALVULA OU BUCHHOLZ,263A,1
20C 20T 63T - ALARME VALVULA OU BUCHHOLZ,263A,2
20C 20T 63T - ALARME VALVULA OU BUCHHOLZ,263A,2
BUCHHOLZ ALARME OU - 63T VALVULA 20C 20T 43TC - ABERTO,263A,3
BUCHHOLZ - OU ALARME 20C 20T 63T VALVULA 52-2 - TRIP,263A,3
VALUVLA ALARME 20C OU 20T 63T BUCHHOLZ 52-2 -,263A,4
- 20C 63T 20T VALVULA BUCHHOL Z01Q0 - POS. REMOTO,263A,4
20T ALARME PO.S 63T OU IED - REMOTO 43TC,263A,5
- VVALLVULA BUCHHOLZ ALARME OU 52-1 - 43TC,263A,5
20C 20T 63T - TRIP VALVULA OU BUCHHOLZ,2063,1
20C 20T 63T - TRIP VALVULA OU BUCHHOLZ,2063,1
20C 20T 63T - TRIP VALVULA OU BUCHHOLZ,2063,2
20C 20T 63T - TRIP VALVULA OU BUCHHOLZ,2063,2
VALVULA OU 20C BUCHHOLZ TRIP 20T - 63T 01F1 - POS. REMOTO,2063,3
63T OU BUCHHOLZ 20T - TRIP VALVULA 20C IED 01F1 - BLOQUEIO,2063,3
OU RTIP BUCHHOLZ 20C 20T IED 01F1 - BLOQUEIO,2063,4
VALVULA OU 20C- 63T BUCHHOLZ 01F1 -,2063,4
TRIP BUCHHOLZ - 5-2 VALVULAA 63T 20T 20C 01F1,2063,5
REMOTO 20C2 01Q0 0T 01F IED 1-,2063,5
20T 63T - TRIP VALVULA OU BUCHHOLZ TRAFO,206T,1
20T 63T - TRIP VALVULA OU BUCHHOLZ TRAFO,206T,1
20T 63T - TRIP VALVULA OU BUCHHOLZ TRAFO,206T,2
20T 63T - TRIP VALVULA OU BUCHHOLZ TRAFO,206T,2
BUCHHOLZ 20T VALVULA TRAFO - OU TRIP 63T 43TC - FECHADO,206T,3
- BUCHHOLZ TRAFO 20T 63T TRIP VALVULA OU 52-1 - POS. REMOTO,206T,3
63T - OU VALVULA TRAFO BUCHHOLLZ 20T 43TC - FECHADO,206T,4
TRAFO 20T OU VALVULA TRIP 63T - ABERTO,206T,4
IED 20TT OU - 63T 01Q00 - VALVULA 01F1,206T,5
TRIP - UCHHOLZ IED - TRAFO 3TB 43TC,206T,5
