sigla,sheet,desc_v2,desc_v6,termos_novos,freq,origem,benchmark_impact
20A,DiscreteSignals,20 - ALARME VALVULA,"20 - ALARME VALVULA — 43LR, CMD, FVCC, LO, P","43LR, CMD, FVCC, LO, P",1;1;1;1;1,decidido,
20TA,DiscreteSignals,20 - ALARME VALVULA TRAFO,"20 - ALARME VALVULA TRAFO — 43LR, CMD, FVCC, LO","43LR, CMD, FVCC, LO",2;2;2;2,decidido,
20T,DiscreteSignals,20 - VALVULA TRANSFORMADOR,"20 - VALVULA TRANSFORMADOR — 52MT, INTERMEDIARIO, TRF","52MT, INTERMEDIARIO, TRF",2;2;2,decidido,
20C,DiscreteSignals,20 - VALVULA COMUTADOR,"20 - VALVULA COMUTADOR — ALIVIO, ATUADA","ALIVIO, ATUADA",2;2,decidido,
2087T,DiscreteSignals,20 87 - TRIP VALVULA OU DIFERENCIAL TRAFO,"20 87 - TRIP VALVULA OU DIFERENCIAL TRAFO — 87FD, ATUADO, P","87FD, ATUADO, P",2;2;2,decidido,
21,DiscreteSignals,21 - FUNCAO DISTANCIA,"21 - FUNCAO DISTANCIA — INDEFINIDO, INTERTRAVAMENTO","INDEFINIDO, INTERTRAVAMENTO",4;3,decidido,
21,DiscreteSignals,21 - FUNCAO DISTANCIA,"21 - FUNCAO DISTANCIA — INDEFINIDO, INTERTRAVAMENTO","INDEFINIDO, INTERTRAVAMENTO",4;3,decidido,
21Z2,DiscreteSignals,21 - TRIP ZONA 2,21 - TRIP ZONA 2 — ATUADO,ATUADO,3,decidido,
21Z3,DiscreteSignals,21 - TRIP ZONA 3,21 - TRIP ZONA 3 — ATUADO,ATUADO,3,decidido,
21Z4,DiscreteSignals,21 - TRIP ZONA 4,21 - TRIP ZONA 4 — ATUADO,ATUADO,3,decidido,
25IE,DiscreteSignals,25 - FUNCAO SINCRONISMO,25 - FUNCAO SINCRONISMO — CHECK,CHECK,12,decidido,
25IE,DiscreteSignals,25 - FUNCAO SINCRONISMO,25 - FUNCAO SINCRONISMO — CHECK,CHECK,12,decidido,
25LR,DiscreteSignals,25 - CHAVE LOCAL REMOTO RELE 25 ,"25 - CHAVE LOCAL REMOTO RELE 25  — 43LR, POS","43LR, POS",1;1,decidido,
27,DiscreteSignals,27 - FUNCAO SUBTENSAO,"27 - FUNCAO SUBTENSAO — EXCLUIDA, ATUADO, 43LR, INDEFINIDO, INTERTRAVAMENTO, POS","EXCLUIDA, ATUADO, 43LR, INDEFINIDO, INTERTRAVAMENTO, POS",16;6;1;1;1;1,decidido,
27,DiscreteSignals,27 - FUNCAO SUBTENSAO,"27 - FUNCAO SUBTENSAO — EXCLUIDA, ATUADO, 43LR, INDEFINIDO, INTERTRAVAMENTO, POS","EXCLUIDA, ATUADO, 43LR, INDEFINIDO, INTERTRAVAMENTO, POS",16;6;1;1;1;1,decidido,
27E1,DiscreteSignals,27 - SUBTENSAO E1,27 - SUBTENSAO E1 — ATUADA,ATUADA,4,decidido,
27E2,DiscreteSignals,27 - SUBTENSAO E2,27 - SUBTENSAO E2 — ATUADA,ATUADA,4,decidido,
27LT,DiscreteSignals,27 - SUBTENSAO LINHA,"27 - SUBTENSAO LINHA — ABERTA, INDEFINIDA, MCB","ABERTA, INDEFINIDA, MCB",2;2;2,decidido,
43LR,DiscreteSignals,43 - CHAVE LOCAL REMOTO,"43 - CHAVE LOCAL REMOTO — 43LR, POS","43LR, POS",64;64,decidido,
RLCD,DiscreteSignals,43 - CHAVE LOCAL REMOTO COMUTADOR,"43 - CHAVE LOCAL REMOTO COMUTADOR — 43LR, POS","43LR, POS",24;24,decidido,
43TC,DiscreteSignals,43 - CHAVE TELECOMANDO,"43 - CHAVE TELECOMANDO — 43TC, EXCLUIDA, INCLUIDO","43TC, EXCLUIDA, INCLUIDO",72;66;6,decidido,
TEA,DiscreteSignals,49 - ALARME TEMPERATURA ENROLAMENTO,"49 - ALARME TEMPERATURA ENROLAMENTO — SOBRETEMPERATURA, 49AT, H, 49MT, X, DESLIGAMENTO","SOBRETEMPERATURA, 49AT, H, 49MT, X, DESLIGAMENTO",18;10;10;8;8;2,decidido,
50_1,DiscreteSignals,50 - SOBRECORRENTE INSTANTANEA E1,"50 - SOBRECORRENTE INSTANTANEA E1 — 50N, ATUADO","50N, ATUADO",24;24,decidido,
50F1,DiscreteSignals,50 - SOBRECORRENTE INSTANTANEA FASE E1,"50 - SOBRECORRENTE INSTANTANEA FASE E1 — ABC, ATUADO","ABC, ATUADO",24;24,decidido,
50F2,DiscreteSignals,50 - SOBRECORRENTE INSTANTANEA FASE E2,"50 - SOBRECORRENTE INSTANTANEA FASE E2 — ATUADO, 50N, ABC","ATUADO, 50N, ABC",42;24;18,decidido,
59,DiscreteSignals,59 - FUNCAO SOBRETENSAO,"59 - FUNCAO SOBRETENSAO — EXCLUIDA, ATUADO, INDEFINIDO, CONTORNO, P","EXCLUIDA, ATUADO, INDEFINIDO, CONTORNO, P",16;6;5;3;1,decidido,
59,DiscreteSignals,59 - FUNCAO SOBRETENSAO,"59 - FUNCAO SOBRETENSAO — EXCLUIDA, ATUADO, INDEFINIDO, CONTORNO, P","EXCLUIDA, ATUADO, INDEFINIDO, CONTORNO, P",16;6;5;3;1,decidido,
59E1,DiscreteSignals,59 - SOBRETENSAO E1,59 - SOBRETENSAO E1 — ATUADA,ATUADA,6,decidido,
59E2,DiscreteSignals,59 - SOBRETENSAO E2,"59 - SOBRETENSAO E2 — ATUADA, 59N, ATUADO","ATUADA, 59N, ATUADO",6;2;2,decidido,
BFP1,DiscreteSignals,62 - FALHA DISJUNTOR BLOQUEIO BARRA P1,"62 - FALHA DISJUNTOR BLOQUEIO BARRA P1 — 86FD, ATUADO","86FD, ATUADO",3;3,decidido,
BFP2,DiscreteSignals,62 - FALHA DISJUNTOR BLOQUEIO BARRA P2,"62 - FALHA DISJUNTOR BLOQUEIO BARRA P2 — 86FD, ATUADO","86FD, ATUADO",3;3,decidido,
63TA,DiscreteSignals,63 - ALARME BUCHHOLZ TRAFO  ,"63 - ALARME BUCHHOLZ TRAFO   — 43LR, CMD, FVCC, LO","43LR, CMD, FVCC, LO",2;2;2;2,decidido,
67F1,DiscreteSignals,67 - DIRECIONAL SOBRECORRENTE FASE E1,"67 - DIRECIONAL SOBRECORRENTE FASE E1 — ABC, ATUADO","ABC, ATUADO",12;12,decidido,
67F2,DiscreteSignals,67 - DIRECIONAL SOBRECORRENTE FASE E2,"67 - DIRECIONAL SOBRECORRENTE FASE E2 — ABC, ATUADO","ABC, ATUADO",12;12,decidido,
67FT,DiscreteSignals,67 - DIRECIONAL SOBRECORRENTE FASE TEMPORIZADO,"67 - DIRECIONAL SOBRECORRENTE FASE TEMPORIZADO — ATUADO, TOC","ATUADO, TOC",12;12,decidido,
67NT1,DiscreteSignals,67 - DIRECIONAL SOBRECORRENTE NEUTRO TEMPORIZADO E1,"67 - DIRECIONAL SOBRECORRENTE NEUTRO TEMPORIZADO E1 — 67N, ATUADO","67N, ATUADO",12;12,decidido,
67NT2,DiscreteSignals,67 - DIRECIONAL SOBRECORRENTE NEUTRO TEMPORIZADO E2,"67 - DIRECIONAL SOBRECORRENTE NEUTRO TEMPORIZADO E2 — 67N, ATUADO","67N, ATUADO",12;12,decidido,
67,DiscreteSignals,67 - FUNCAO DIRECIONAL SOBRECORRENTE,"67 - FUNCAO DIRECIONAL SOBRECORRENTE — ABC, ATUADO","ABC, ATUADO",34;34,decidido,
67,DiscreteSignals,67 - FUNCAO DIRECIONAL SOBRECORRENTE,"67 - FUNCAO DIRECIONAL SOBRECORRENTE — ABC, ATUADO","ABC, ATUADO",34;34,decidido,
71,DiscreteSignals,71 - NIVEL OLEO,"71 - NIVEL OLEO — 71C, MINIMO, 71T, MAXIMO","71C, MINIMO, 71T, MAXIMO",6;6;4;4,decidido,
